Name,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
146 LUCINA,8.2,0.11,64.914757,145.52245,84.358667,13.086287,0.0636271,2.7192337,48800
147 PROTOGENEIA,8.27,0.15,312.07911,119.11575,249.38694,1.931474,0.0366324,3.1361524,48800
148 GALLIA,7.63,0.15,71.73217,251.79914,145.42889,25.317084,0.1847164,2.7721094,48800
149 MEDUSA,10.79,0.15,96.211644,250.70805,159.67094,0.934466,0.0649919,2.1751103,48800
150 NUWA,8.23,0.15,250.42382,153.98003,206.58549,2.18886,0.1292225,2.9799889,48800
151 ABUNDANTIA,9.24,0.15,218.27308,135.98497,39.165998,6.455974,0.0343461,2.5918554,48800
152 ATALA,8.33,0.15,306.0955,49.139963,40.507742,12.172594,0.070704,3.1429497,48800
153 HILDA,7.48,0.15,33.930911,42.354613,228.50806,7.831905,0.1428965,3.9802324,48800
154 BERTHA,7.58,0.15,49.524294,152.59662,37.205211,21.102718,0.0918991,3.1815782,48800
155 SCYLLA,11.39,0.15,139.30524,46.009344,41.249503,11.394972,0.2767548,2.7552301,48800
156 XANTHIPPE,8.64,0.15,140.59859,338.37188,242.31446,9.754989,0.2235658,2.7317511,48800
157 DEJANIRA,10.6,0.15,19.468085,47.19747,62.260965,12.143617,0.1959158,2.5808038,48800
158 KORONIS,9.27,0.15,29.174045,142.69808,279.1629,1.00145,0.051515,2.8683187,48800
159 AEMILIA,8.12,0.15,60.160337,338.68915,134.43895,6.123621,0.1101849,3.1037354,48800
160 UNA,9.08,0.15,22.252865,49.830037,9.090954,3.833865,0.0644221,2.7274037,48800
161 ATHOR,9.15,0.13,146.50255,294.03736,18.882242,9.049831,0.1390442,2.3785797,48800
162 LAURENTIA,8.83,0.15,93.246531,111.92876,36.605446,6.099272,0.1817426,3.0157626,48800
163 ERIGONE,9.47,-0.04,59.74788,297.47079,160.45854,4.799142,0.1921369,2.36756,48800
164 EVA,8.8,0.15,350.03594,283.66208,77.301863,24.490995,0.3451334,2.6326951,48800
165 LORELEY,7.65,0.15,352.58568,352.19769,303.07345,11.246031,0.0753343,3.1298219,48800
166 RHODOPE,9.89,0.15,65.936348,263.23512,129.46699,12.015701,0.2107243,2.6862817,48800
167 URDA,9.24,0.15,40.55214,130.72664,166.60708,2.204355,0.0372221,2.8536803,48800
168 SIBYLLA,7.94,0.15,224.20791,163.96905,207.16946,4.613867,0.0574855,3.3780285,48800
169 ZELIA,9.56,0.15,14.607824,334.71668,355.00676,5.51379,0.1317552,2.3582223,48800
170 MARIA,9.39,0.15,124.59933,156.71066,301.58799,14.424816,0.065675,2.5521705,48800
171 OPHELIA,8.31,0.15,246.19473,58.307632,100.67546,2.542635,0.1204153,3.1385829,48800
172 BAUCIS,8.79,0.15,332.51967,359.45188,332.31606,10.033129,0.1144254,2.379843,48800
173 INO,7.66,0.01,70.393941,227.15943,148.70365,14.221533,0.2077462,2.7426189,48800
174 PHAEDRA,8.48,0.15,337.3174,289.53639,328.05321,12.148097,0.1399,2.8618469,48800
175 ANDROMACHE,8.31,0.15,308.11882,322.34889,21.495621,3.220749,0.2296776,3.1888766,48800
176 IDUNA,7.9,0.15,91.443935,181.09658,201.08293,22.560165,0.1637217,3.1898671,48800
177 IRMA,9.49,0.15,320.52181,37.832292,348.02196,1.398114,0.2377616,2.768708,48800
178 BELISANA,9.38,0.15,34.157524,210.70965,51.31817,1.903653,0.0440779,2.4600801,48800
179 KLYTAEMNESTRA,8.15,0.15,183.78613,105.51459,252.34021,7.80027,0.1090464,2.9771167,48800
180 GARUMNA,10.31,0.15,172.1754,173.642,313.09335,0.874359,0.1667616,2.7224763,48800
181 EUCHARIS,7.84,0.15,275.80243,313.36584,144.20941,18.683487,0.2024861,3.1385735,48800
182 ELSA,9.12,0.15,232.72094,309.39703,107.33516,2.001712,0.1868894,2.416095,48800
183 ISTRIA,9.68,0.15,236.17034,263.94023,142.34178,26.428166,0.3495987,2.7906368,48800
184 DEJOPEJA,8.31,0.15,30.665496,209.20751,332.85038,1.14847,0.0833334,3.1771782,48800
185 EUNIKE,7.62,0.15,213.23624,224.1655,154.10896,23.259166,0.1288331,2.7372706,48800
186 CELUTA,8.91,0.15,46.161932,315.18439,14.954157,13.186262,0.1513352,2.3616023,48800
187 LAMBERTA,8.16,0.15,97.701131,195.62067,22.026645,10.593258,0.2357259,2.7332973,48800
188 MENIPPE,9.22,0.15,258.30359,68.993195,241.3653,11.711929,0.1762762,2.7639275,48800
189 PHTHIA,9.33,0.15,236.63938,167.12218,203.84508,5.177177,0.0370159,2.449887,48800
190 ISMENE,7.59,0.15,120.2834,274.79762,176.0835,6.165566,0.1656507,3.9761979,48800
191 KOLGA,9.07,0.15,7.790122,225.20023,159.77032,11.502642,0.0891602,2.8953745,48800
192 NAUSIKAA,7.13,0.03,285.56003,29.788808,343.64013,6.826782,0.2482253,2.4018985,48800
193 AMBROSIA,9.68,0.15,64.571191,81.311146,350.3175,12.04257,0.2924345,2.6046367,48800
194 PROKNE,7.68,0.15,154.03761,163.00915,159.68048,18.520531,0.2373287,2.6165517,48800
195 EURYKLEIA,9.01,0.15,140.63378,115.6018,7.369204,6.975316,0.0437888,2.8768454,48800
196 PHILOMELA,6.54,0.15,116.85829,216.58087,72.73088,7.260173,0.0272089,3.1126626,48800
197 ARETE,9.18,0.15,267.95334,246.48054,81.889859,8.788761,0.1622677,2.7395796,48800
198 AMPELLA,8.33,0.15,41.508556,88.036667,268.85193,9.28841,0.2307829,2.45784,48800
199 BYBLIS,8.3,0.15,1.046072,176.73848,89.505071,15.316036,0.1609374,3.1893893,48800
200 DYNAMENE,8.26,0.15,255.5681,85.101191,324.91682,6.905317,0.134983,2.7365773,48800
201 PENELOPE,8.43,0.24,260.25078,180.93472,157.22027,5.760789,0.1816435,2.6773835,48800
202 CHRYSEIS,7.42,0.15,209.47485,354.05185,137.29715,8.818651,0.0951128,3.0770339,48800
203 POMPEJA,8.76,0.15,292.69514,56.695065,348.28529,3.184614,0.060826,2.7373093,48800
204 KALLISTO,8.89,0.15,43.358211,56.124225,205.42558,8.265243,0.1739489,2.6716769,48800
205 MARTHA,9.23,0.15,126.55009,175.34036,212.18242,10.684176,0.0334882,2.7791064,48800
